OBJECTID,BZone,BAcerage,Shape__Area,Shape__Length
1,1,2263097.91562,9158431051.19596,1322136.55235015
2,10,2008072.61409,8126379653.68018,639327.755086483
3,11,5852272.63444,23683303362.0622,1110780.6119282
4,12,7639110.64202,30914378534.098,1231640.73476558
5,13,8154006.33868,32998086383.6285,1054399.40412101
6,14,16826985.9932,68096380664.7824,2782493.72367863
7,15,7372182.2439,29834155683.828,1775624.93918943
8,16,34584170.5129,139957147746.043,5194096.5835512
9,2,5027297.16814,20344746756.4448,1221182.98499071
10,3,2041871.10862,8263155714.91406,1788471.61514805
11,4,4580378.94371,18536132453.7336,1311705.51039186
12,5,1965019.89569,7952151788.0128,795148.356505728
13,6,627500.537051,2539403924.26953,1018326.86518161
14,7,455697.918423,1844143612.09361,489003.096516728
15,8,523458.218784,2118359774.36453,287485.107241661
16,9,1036770.65423,4195661062.49796,539798.759436397
