FIPS_NAME,FIRE_SIZE_CLASS,COUNT
Trinity,G,23
Siskiyou,G,19
San Diego,G,13
Lassen,G,9
Los Angeles,G,9
Riverside,G,9
Shasta,G,9
Plumas,G,8
Tehama,G,8
Humboldt,G,7
Kern,G,6
San Bernardino,G,6
Santa Barbara,G,6
Del Norte,G,5
Fresno,G,5
Inyo,G,4
Lake,G,4
Mono,G,4
Monterey,G,4
Placer,G,4
Orange,G,3
Butte,G,2
Colusa,G,2
El Dorado,G,2
Glenn,G,2
Madera,G,2
Mariposa,G,2
Mendocino,G,2
Modoc,G,2
Santa Clara,G,2
Tulare,G,2
Tuolumne,G,2
Ventura,G,2
Alpine,G,1
Amador,G,1
Napa,G,1
Sacramento,G,1
San Luis Obispo,G,1
Sonoma,G,1
Stanislaus,G,1
San Diego,F,24
Kern,F,22
Los Angeles,F,15
Riverside,F,15
Trinity,F,15
Lassen,F,14
Shasta,F,14
Tulare,F,13
Siskiyou,F,11
San Bernardino,F,10
Butte,F,9
Lake,F,8
Modoc,F,8
San Luis Obispo,F,8
Humboldt,F,6
Tehama,F,6
Mono,F,5
Inyo,F,4
Mariposa,F,4
Mendocino,F,4
Plumas,F,4
Santa Barbara,F,4
Tuolumne,F,4
Fresno,F,3
Merced,F,3
Monterey,F,3
Orange,F,3
Sierra,F,3
Nevada,F,2
Placer,F,2
Ventura,F,2
Yolo,F,2
Alpine,F,1
Calaveras,F,1
Colusa,F,1
El Dorado,F,1
Imperial,F,1
Kings,F,1
Napa,F,1
San Benito,F,1
Santa Clara,F,1
Sonoma,F,1
Stanislaus,F,1
Yuba,F,1
Kern,E,37
Riverside,E,22
San Bernardino,E,17
Lassen,E,14
Modoc,E,14
San Diego,E,14
Butte,E,13
Los Angeles,E,12
Siskiyou,E,10
Plumas,E,9
Santa Barbara,E,9
Trinity,E,9
Inyo,E,8
Shasta,E,8
Humboldt,E,7
Lake,E,7
Madera,E,7
Merced,E,7
Mono,E,7
Tehama,E,7
Tulare,E,7
Monterey,E,6
Yolo,E,6
Fresno,E,5
